,Play,Expert,Team,Name,Opponent,Hmcrt_adv,Correct,Actual Value,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface
0,B.Purdy u32.5 Pass Att,Markus_Markets,San Francisco 49ers,B.Purdy,New York Jets,1,Y,29.0,1.0,1,1.0,1,1.0,1,74.0,10.0,59.0,2.0,Partly Cloudy,Levi's,outdoors,grass
3,G.Kittle o40.5 receiving yards,Rotowire Prizepicks,San Francisco 49ers,G.Kittle,New York Jets,1,N,40.0,0.0,0,0.0,0,0.0,0,75.0,12.0,62.0,1.0,Partly Cloudy,Levi's,outdoors,grass
4,D.Samuel o9.5 rushing yards,Rotowire Sleeper,San Francisco 49ers,D.Samuel,New York Jets,1,Y,23.0,1.0,1,1.0,1,1.0,1,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
5,B.Hall o24.5 receiving yards,Rotowire Sleeper,New York Jets,B.Hall,San Francisco 49ers,0,Y,39.0,1.0,1,1.0,1,1.0,1,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
6,B.Aiyuk o49.5 receiving yards,Rotowire Prizepicks,San Francisco 49ers,B.Aiyuk,New York Jets,1,N,28.0,0.0,0,0.0,0,0.0,0,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
9,B.Purdy u2.5 Rush Att,MoneylineHacks,San Francisco 49ers,B.Purdy,New York Jets,1,Y,1.0,1.0,1,1.0,1,1.0,1,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
10,A.Lazard o0.5 rush_td+rec_td,GDAWG5000,New York Jets,A.Lazard,San Francisco 49ers,0,Y,2.0,1.0,1,1.0,1,1.0,1,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
11,G.Kittle o0.5 rush_td+rec_td,GDAWG5000,San Francisco 49ers,G.Kittle,New York Jets,1,N,0.0,0.0,0,0.0,0,0.0,0,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
12,B.Hall o3.5 Recs,PropBetGuy,New York Jets,B.Hall,San Francisco 49ers,0,Y,5.0,1.0,1,1.0,1,1.0,1,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
14,A.Rodgers o0.5 ints,Ryan Gilbert,New York Jets,A.Rodgers,San Francisco 49ers,0,Y,1.0,1.0,1,1.0,1,1.0,1,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
15,B.Hall u15.5 rush att,Ryan Gilbert,New York Jets,B.Hall,San Francisco 49ers,0,N,16.0,0.0,0,0.0,0,0.0,0,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
16,B.Hall o62.5 rushing yards,Rotowire Sleeper,New York Jets,B.Hall,San Francisco 49ers,0,N,54.0,0.0,0,0.0,0,0.0,0,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
17,B.Hall o92.5 rushing + receiving yards,Rotowire Prizepicks,New York Jets,B.Hall,San Francisco 49ers,0,Y,93.0,1.0,1,1.0,1,1.0,1,75.0,12.0,62.0,0.0,Partly Cloudy,Levi's,outdoors,grass
19,D.Samuel o1.5 rush_td+rec_td,BetWhatHappensLive,San Francisco 49ers,D.Samuel,New York Jets,1,N,1.0,0.0,0,0.0,0,0.0,0,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
20,B.Purdy o6.5 Rush Yds,moneybadger24_,San Francisco 49ers,B.Purdy,New York Jets,1,Y,11.0,1.0,1,1.0,1,1.0,1,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
21,K.Juszczyk o3.5 Rec Yds,charliedisturco,San Francisco 49ers,K.Juszczyk,New York Jets,1,Y,40.0,1.0,1,1.0,1,1.0,1,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
22,B.Hall o49.5 Rec Yds,charliedisturco,New York Jets,B.Hall,San Francisco 49ers,0,N,39.0,0.0,0,0.0,0,0.0,0,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
23,J.Mason u14.5 Rush Att,nick_giffen,San Francisco 49ers,J.Mason,New York Jets,1,N,28.0,0.0,0,0.0,0,0.0,0,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
24,D.Samuel o77.5 Rush + Rec Yds,JoeDellera,San Francisco 49ers,D.Samuel,New York Jets,1,N,77.0,0.0,0,0.0,0,0.0,0,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
25,D.Samuel o99.5 Rush + Rec Yds,JoeDellera,San Francisco 49ers,D.Samuel,New York Jets,1,N,77.0,0.0,0,0.0,0,0.0,0,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
26,D.Samuel o124.5 Rush + Rec Yds,JoeDellera,San Francisco 49ers,D.Samuel,New York Jets,1,N,77.0,0.0,0,0.0,0,0.0,0,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
28,G.Kittle o3.5 Recs,CroweRadio,San Francisco 49ers,G.Kittle,New York Jets,1,Y,4.0,1.0,1,1.0,1,1.0,1,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
29,A.Lazard o1.5 Recs,theprophunter0_,New York Jets,A.Lazard,San Francisco 49ers,0,Y,6.0,1.0,1,1.0,1,1.0,1,77.0,13.0,66.0,4.0,Clear,Levi's,outdoors,grass
