Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
S.Barkley o0.5 rush_td+rec_td,JCBetsNFL,Philadelphia Eagles,s.barkley,Washington Commanders,1.0,0.5,0,0.3333333333333333,0,0.4,0,39,7,62,4,Snow,Lincoln Financial Field,outdoors,grass,-230,3.0,4.304347826086956,1.304347826086956
A.Brown o0.5 rush_td+rec_td,wheatonbrando,Philadelphia Eagles,a.brown,Washington Commanders,1.0,0.4666666666666667,0,0.3333333333333333,0,0.6,1,38,12,54,2,Partly Cloudy,Lincoln Financial Field,outdoors,grass,160,0.25,0.65,0.4
A.Brown o0.5 rush_td+rec_td,TheDegenWeekly,Philadelphia Eagles,a.brown,Washington Commanders,1.0,0.4666666666666667,0,0.3333333333333333,0,0.6,1,39,10,50,0,Partly Cloudy,Lincoln Financial Field,outdoors,grass,155,1.0,2.55,1.5499999999999998
A.Brown o0.5 rush_td+rec_td,sandyplashkes,Philadelphia Eagles,a.brown,Washington Commanders,1.0,0.4666666666666667,0,0.3333333333333333,0,0.6,1,39,9,52,0,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,162,1.0,2.62,1.62
A.Brown o0.5 rush_td+rec_td,Steakfriend123,Philadelphia Eagles,a.brown,Washington Commanders,1.0,0.4666666666666667,0,0.3333333333333333,0,0.6,1,39,9,52,0,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,160,0.5,1.3,0.8
A.Brown o0.5 rush_td+rec_td,sirlockselot_,Philadelphia Eagles,a.brown,Washington Commanders,1.0,0.4666666666666667,0,0.3333333333333333,0,0.6,1,39,12,48,0,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,150,2.0,5.0,3.0
A.Brown o0.5 rush_td+rec_td,shadybiev,Philadelphia Eagles,a.brown,Washington Commanders,1.0,0.4666666666666667,0,0.3333333333333333,0,0.6,1,39,12,48,0,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,155,1.0,2.55,1.5499999999999998
S.Barkley o0.5 rush_td+rec_td,shadybiev,Philadelphia Eagles,s.barkley,Washington Commanders,1.0,0.5,0,0.3333333333333333,0,0.4,0,39,12,48,0,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-225,2.25,3.25,1.0
X.Worthy o0.5 rush_td+rec_td,Stuckey2,Kansas City Chiefs,x.worthy,Buffalo Bills,1.0,0.4705882352941176,0,0.6666666666666666,1,0.6,1,31,3,51,0,Clear,GEHA Field at Arrowhead,outdoors,grass,200,0.2,0.6000000000000001,0.4000000000000001
X.Worthy o0.5 rush_td+rec_td,GDAWG5000,Kansas City Chiefs,x.worthy,Buffalo Bills,1.0,0.4705882352941176,0,0.6666666666666666,1,0.6,1,32,5,51,0,Clear,GEHA Field at Arrowhead,outdoors,grass,200,1.0,3.0,2.0
B.Robinson o0.5 rush_td+rec_td,TheTDShow_duplicate,Washington Commanders,b.robinson,Philadelphia Eagles,0.0,0.5,0,0.3333333333333333,0,0.2,0,39,12,48,0,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,200,1.0,3.0,2.0
X.Worthy o0.5 rush_td+rec_td,TheTDShow,Kansas City Chiefs,x.worthy,Buffalo Bills,1.0,0.4705882352941176,0,0.6666666666666666,1,0.6,1,32,5,51,0,Clear,GEHA Field at Arrowhead,outdoors,grass,200,1.0,3.0,2.0
X.Worthy o0.5 rush_td+rec_td,shadybiev,Kansas City Chiefs,x.worthy,Buffalo Bills,1.0,0.4705882352941176,0,0.6666666666666666,1,0.6,1,33,5,46,0,Clear,GEHA Field at Arrowhead,outdoors,grass,187,1.5,4.305,2.805
