Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
B.Mayfield o269.5 passing yards,Rotowire Sleeper,Tampa Bay Buccaneers,b.mayfield,New Orleans Saints,1,0.625,1,1.0,1,0.8,1,61,5,36,2,Partly Cloudy,Raymond James,outdoors,grass,100,1.5,3.0,1.5
B.Mayfield o254.5 passing yards,Rotowire Sleeper,Tampa Bay Buccaneers,b.mayfield,New Orleans Saints,1,0.625,1,1.0,1,0.8,1,64,6,43,8,Rain,Raymond James,outdoors,grass,100,1.5,3.0,1.5
B.Nix o216.5 passing yards,Rotowire Prizepicks,Denver Broncos,b.nix,Kansas City Chiefs,1,0.5,0,0.6666666666666666,1,0.8,1,36,5,42,4,Partly Cloudy,Empower Field at Mile High,outdoors,grass,100,1.5,3.0,1.5
J.Flacco o235.5 passing yards,Rotowire Sleeper,Indianapolis Colts,j.flacco,Jacksonville Jaguars,1,0.5,0,0.6666666666666666,1,0.6,1,25,6,55,72,Snow,Lucas Oil,indoors,turf,100,1.5,3.0,1.5
J.Love o215.5 passing yards,Rotowire Prizepicks,Green Bay Packers,j.love,Chicago Bears,1,0.6428571428571429,1,0.3333333333333333,0,0.4,0,17,6,58,4,Partly Cloudy,Lambeau Field,outdoors,grass,100,1.5,3.0,1.5
S.Darnold o279.5 passing yards,Rohit Ponnaiya,Minnesota Vikings,s.darnold,Detroit Lions,0,0.25,0,0.3333333333333333,0,0.4,0,23,2,69,4,Snow,Ford Field,indoors,turf,100,0.75,1.5,0.75
D.Lock o191.5 passing yards,Phil Naessens,New York Giants,d.lock,Philadelphia Eagles,0,0.6,1,1.0,1,0.6,1,33,19,39,3,Snow,Lincoln Financial Field,outdoors,grass,100,0.75,1.5,0.75
J.Dobbs o190.5 passing yards,Rotowire Sleeper,San Francisco 49ers,j.dobbs,Arizona Cardinals,0,0.0,0,0.0,0,0.0,0,67,2,14,0,Clear,State Farm,indoors,grass,100,1.5,3.0,1.5
A.Rodgers o222.5 passing yards,Rotowire Sleeper,New York Jets,a.rodgers,Miami Dolphins,1,0.5625,1,0.6666666666666666,1,0.6,1,34,17,36,0,Partly Cloudy,MetLife,outdoors,turf,100,1.5,3.0,1.5
J.Goff o282.5 passing yards,Rotowire Sleeper,Detroit Lions,j.goff,Minnesota Vikings,1,0.5,0,1.0,1,0.8,1,23,2,70,6,Snow,Ford Field,indoors,turf,100,1.5,3.0,1.5
