Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
G.Dortch o20.5 receiving yards,Rotowire Prizepicks,Arizona Cardinals,g.dortch,Los Angeles Chargers,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6,1,82,2,18,0,Clear,State Farm,indoors,grass,100,1.5,3.0,1.5,,,
D.Henry o4.5 receiving yards,Rotowire Sleeper,Baltimore Ravens,d.henry,Tampa Bay Buccaneers,0.0,0.6,1,0.3333333333333333,0,0.6,1,76,9,74,0,Clear,Raymond James,outdoors,grass,100,1.5,3.0,1.5,,,
G.Dortch o20.5 receiving yards,Rotowire Sleeper,Arizona Cardinals,g.dortch,Los Angeles Chargers,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6,1,83,2,18,0,Clear,State Farm,indoors,grass,100,1.5,3.0,1.5,,,
M.Evans o49.5 receiving yards,Rotowire Prizepicks,Tampa Bay Buccaneers,m.evans,Baltimore Ravens,1.0,0.5,0,0.6666666666666666,1,0.4,0,76,9,74,0,Clear,Raymond James,outdoors,grass,100,1.5,3.0,1.5,,,
R.Bateman o33.5 receiving yards,Rotowire Sleeper,Baltimore Ravens,r.bateman,Tampa Bay Buccaneers,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6,1,76,9,74,0,Clear,Raymond James,outdoors,grass,100,1.5,3.0,1.5,,,
M.Evans o51.5 receiving yards,Rotowire Prizepicks,Tampa Bay Buccaneers,m.evans,Baltimore Ravens,1.0,0.5,0,0.6666666666666666,1,0.4,0,76,10,74,0,Clear,Raymond James,outdoors,grass,100,1.5,3.0,1.5,,,
M.Harrison o54.5 Rec Yds,sandyplashkes,Arizona Cardinals,m.harrison,Los Angeles Chargers,1.0,0.4,0,0.3333333333333333,0,0.4,0,82,2,18,0,Clear,State Farm,indoors,grass,-112,1.12,2.12,1.0,,,
M.Harrison o49.5 Rec Yds,RoyalsProps,Arizona Cardinals,m.harrison,Los Angeles Chargers,1.0,0.4,0,0.3333333333333333,0,0.4,0,82,2,18,0,Clear,State Farm,indoors,grass,-120,1.2,2.2,1.0000000000000002,,,
J.Dobbins u15.5 Rec Yds,kylemurray03,Los Angeles Chargers,j.dobbins,Arizona Cardinals,0.0,0.8,1,0.6666666666666666,1,0.8,1,82,2,18,0,Clear,State Farm,indoors,grass,-110,1.1,2.1,1.0,,,
S.Shepard o14.5 receiving yards,Rotowire Sleeper,Tampa Bay Buccaneers,s.shepard,Baltimore Ravens,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,77,9,74,2,Clear,Raymond James,outdoors,grass,100,1.5,3.0,1.5,,,
