Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
A.Jones o0.5 rush_td+rec_td,TopShelfAction,Minnesota Vikings,a.jones,Tennessee Titans,0.0,0.375,0,0.3333333333333333,0,0.2,0,64,9,62,1,Partly Cloudy,Nissan,outdoors,grass,137.0,1.0,2.37,1.37,,,
A.Jones o0.5 rush_td+rec_td,theprophunter0_,Minnesota Vikings,a.jones,Tennessee Titans,0.0,0.375,0,0.3333333333333333,0,0.2,0,72,9,62,1,Clear,Nissan,outdoors,grass,-115.0,0.58,1.0843478260869563,0.5043478260869564,,,
A.Kamara o0.5 rush_td+rec_td,TopShelfAction,New Orleans Saints,a.kamara,Cleveland Browns,1.0,0.4444444444444444,0,0.0,0,0.2,0,77,10,71,0,Partly Cloudy,Caesars Superdome,indoors,turf,-120.0,1.0,1.8333333333333333,0.8333333333333335,,,
B.Robinson o0.5 rush_td+rec_td,theprophunter0_,Atlanta Falcons,b.robinson,Denver Broncos,0.0,0.5555555555555556,1,1.0,1,0.8,1,51,9,33,1,Slight Chance Snow,Empower Field at Mile High,outdoors,grass,-105.0,0.53,1.0347619047619048,0.5047619047619047,,,
B.Robinson o0.5 rush_td+rec_td,theprophunter0__duplicate,Atlanta Falcons,b.robinson,Denver Broncos,0.0,0.5,0,0.6666666666666666,1,0.8,1,51,9,33,1,Slight Chance Snow,Empower Field at Mile High,outdoors,grass,-105.0,0.53,1.0347619047619048,0.5047619047619047,1.0,0.0,Rush_TD+Rec_TD
C.Brown o0.5 rush_td+rec_td,gneiffer07,Cincinnati Bengals,c.brown,Los Angeles Chargers,0.0,0.6,1,1.0,1,0.8,1,60,9,41,1,Clear,SoFi,indoors,turf,110.0,1.0,2.1,1.1,1.0,0.0,Rush_TD+Rec_TD
C.McCaffrey o0.5 rush_td+rec_td,gamblersdream,San Francisco 49ers,c.mccaffrey,Seattle Seahawks,1.0,0.0,0,0.0,0,0.0,0,63,5,52,59,Overcast,Levi's,outdoors,grass,170.0,1.0,2.7,1.7000000000000002,,,
G.Pickens o0.5 rush_td+rec_td,TheBMatt,Pittsburgh Steelers,g.pickens,Baltimore Ravens,1.0,0.2222222222222222,0,0.6666666666666666,1,0.4,0,45,6,58,0,Clear,Acrisure,outdoors,grass,145.0,1.0,2.45,1.4500000000000002,1.0,0.0,Rush_TD+Rec_TD
G.Pickens o0.5 rush_td+rec_td,TheTDShow,Pittsburgh Steelers,g.pickens,Baltimore Ravens,1.0,0.2222222222222222,0,0.6666666666666666,1,0.4,0,45,6,58,0,Clear,Acrisure,outdoors,grass,140.0,1.0,2.4,1.4,,,
G.Pickens o0.5 rush_td+rec_td,gneiffer07,Pittsburgh Steelers,g.pickens,Baltimore Ravens,1.0,0.2222222222222222,0,0.6666666666666666,1,0.4,0,41,6,60,2,Rain,Acrisure,outdoors,grass,150.0,1.0,2.5,1.5,,,
J.Williams o0.5 rush_td+rec_td,GDAWG5000_duplicate,Detroit Lions,j.williams,Jacksonville Jaguars,1.0,0.4285714285714285,0,0.3333333333333333,0,0.4,0,52,9,28,2,Clear,Empower Field at Mile High,outdoors,grass,220.0,1.0,3.2,2.2,1.0,0.0,Rush_TD+Rec_TD
J.Williams o0.5 rush_td+rec_td,TheTDShow_duplicate,Detroit Lions,j.williams,Jacksonville Jaguars,1.0,0.4285714285714285,0,0.3333333333333333,0,0.4,0,53,9,26,2,Clear,Empower Field at Mile High,outdoors,grass,220.0,1.0,3.2,2.2,1.0,0.0,Rush_TD+Rec_TD
K.Raymond o0.5 rush_td+rec_td,nick_giffen,Detroit Lions,k.raymond,Jacksonville Jaguars,1.0,0.2857142857142857,0,0.6666666666666666,1,0.4,0,53,10,71,5,Rain,Ford Field,indoors,turf,850.0,0.25,2.375,2.125,1.0,0.0,Rush_TD+Rec_TD
