Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
N.Collins o70.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,65,9,65,8,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o70.5 Rec Yds,kylemurray03,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,64,9,61,0,Clear,AT&amp;T,indoors,turf,-117.0,1.17,2.17,1.0,1.0,0.0,Rec_Yds
T.Dell o46.5 receiving yards,Rotowire Sleeper,Houston Texans,t.dell,Dallas Cowboys,0.0,0.3333333333333333,0,0.3333333333333333,0,0.4,0,65,10,62,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.Ferguson o34.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,j.ferguson,Houston Texans,1.0,0.5,0,0.3333333333333333,0,0.4,0,64,10,63,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.Tolbert o23.5 receiving yards,Rotowire Sleeper,Dallas Cowboys,j.tolbert,Houston Texans,1.0,0.6666666666666666,1,0.3333333333333333,0,0.6,1,64,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o72.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,61,10,60,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o71.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,61,10,60,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
T.Dell o49.5 Rec Yds,sandyplashkes,Houston Texans,t.dell,Dallas Cowboys,0.0,0.3333333333333333,0,0.3333333333333333,0,0.4,0,61,10,60,0,Clear,AT&amp;T,indoors,turf,-108.0,1.08,2.08,1.0,1.0,0.0,Rec_Yds
T.Dell o49.5 Rec Yds,LinesAtLunch,Houston Texans,t.dell,Dallas Cowboys,0.0,0.3333333333333333,0,0.3333333333333333,0,0.4,0,61,10,60,0,Clear,AT&amp;T,indoors,turf,-108.0,1.08,2.08,1.0,1.0,0.0,Rec_Yds
J.Mixon o16.5 receiving yards,Rotowire Sleeper,Houston Texans,j.mixon,Dallas Cowboys,0.0,0.7142857142857143,1,0.6666666666666666,1,0.6,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o74.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o74.5 Rec Yds,therocketplays,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,-110.0,1.1,2.1,1.0,1.0,0.0,Rec_Yds
R.Dowdle o17.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,r.dowdle,Houston Texans,1.0,0.625,1,0.6666666666666666,1,0.6,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o70.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,65,9,65,8,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,,,
N.Collins o70.5 Rec Yds,kylemurray03,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,64,9,61,0,Clear,AT&amp;T,indoors,turf,-117.0,1.17,2.17,1.0,,,
J.Ferguson o34.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,j.ferguson,Houston Texans,1.0,0.4285714285714285,0,0.0,0,0.4,0,64,10,63,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,,,
J.Tolbert o23.5 receiving yards,Rotowire Sleeper,Dallas Cowboys,j.tolbert,Houston Texans,1.0,0.75,1,0.6666666666666666,1,0.8,1,64,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,,,
N.Collins o72.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,61,10,60,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,,,
N.Collins o71.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,61,10,60,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,,,
J.Mixon o16.5 receiving yards,Rotowire Sleeper,Houston Texans,j.mixon,Dallas Cowboys,0.0,0.7142857142857143,1,0.6666666666666666,1,0.6,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,,,
