Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
C.Stroud o227.5 passing yards,Rotowire Sleeper,Houston Texans,c.stroud,Dallas Cowboys,0.0,0.6,1,0.6666666666666666,1,0.4,0,65,8,67,15,Rain,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Pass_Yds
J.Brooks u1.5 Recs,charliedisturco,Dallas Cowboys,j.brooks,Houston Texans,1.0,1.0,1,1.0,1,1.0,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,-120.0,1.2,2.2,1.0000000000000002,,,
J.Mixon o112.5 Rush + Rec Yds,moneybadger24_,Houston Texans,j.mixon,Dallas Cowboys,0.0,0.5714285714285714,1,0.3333333333333333,0,0.6,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,-115.0,1.73,3.2343478260869563,1.5043478260869565,1.0,0.0,Rush_Yds+Rec_Yds
J.Mixon o20.5 Rush Att,LCSports,Houston Texans,j.mixon,Dallas Cowboys,0.0,0.7142857142857143,1,1.0,1,0.8,1,61,10,60,0,Clear,AT&amp;T,indoors,turf,-114.0,1.0,1.8771929824561404,0.8771929824561404,,,
J.Mixon o20.5 Rush Att,kylemurray03,Houston Texans,j.mixon,Dallas Cowboys,0.0,0.7142857142857143,1,1.0,1,0.8,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,-112.0,1.12,2.12,1.0,,,
C.Lamb o1.5 rushing yards,Rotowire Prizepicks,Dallas Cowboys,c.lamb,Houston Texans,1.0,0.625,1,0.6666666666666666,1,0.8,1,73,14,56,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,,,
N.Collins o70.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,65,9,65,8,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o70.5 Rec Yds,kylemurray03,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,64,9,61,0,Clear,AT&amp;T,indoors,turf,-117.0,1.17,2.17,1.0,1.0,0.0,Rec_Yds
N.Collins o72.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,61,10,60,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o71.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,61,10,60,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.Mixon o16.5 receiving yards,Rotowire Sleeper,Houston Texans,j.mixon,Dallas Cowboys,0.0,0.7142857142857143,1,0.6666666666666666,1,0.6,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o74.5 receiving yards,Rotowire Prizepicks,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
N.Collins o74.5 Rec Yds,therocketplays,Houston Texans,n.collins,Dallas Cowboys,0.0,1.0,1,1.0,1,1.0,1,63,10,58,0,Clear,AT&amp;T,indoors,turf,-110.0,1.1,2.1,1.0,1.0,0.0,Rec_Yds
