Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
J.Jennings o0.5 rush_td+rec_td,GDAWG5000,San Francisco 49ers,j.jennings,Los Angeles Rams,1.0,0.2727272727272727,0,0.3333333333333333,0,0.4,0,54,14,81,29,Partly Cloudy,Levi's,outdoors,grass,187,1.0,2.87,1.87
R.Pearsall o0.5 rush_td+rec_td,GDAWG5000,San Francisco 49ers,r.pearsall,Los Angeles Rams,1.0,0.1666666666666666,0,0.0,0,0.2,0,54,9,88,29,Rain,Levi's,outdoors,grass,500,0.5,3.0,2.5
D.Samuel o0.5 rush_td+rec_td,boomerslocks,San Francisco 49ers,d.samuel,Los Angeles Rams,1.0,0.1818181818181818,0,0.0,0,0.0,0,54,9,88,29,Rain,Levi's,outdoors,grass,145,1.0,2.45,1.4500000000000002
I.Guerendo o0.5 rush_td+rec_td,Invisibleinsider,San Francisco 49ers,i.guerendo,Los Angeles Rams,1.0,1.0,1,1.0,1,1.0,1,54,9,88,29,Rain,Levi's,outdoors,grass,-125,0.5,0.9,0.4
D.Samuel o0.5 rush_td+rec_td,sandyplashkes,San Francisco 49ers,d.samuel,Los Angeles Rams,1.0,0.1818181818181818,0,0.0,0,0.0,0,54,9,88,29,Rain,Levi's,outdoors,grass,142,1.0,2.42,1.42
C.Kupp o0.5 rush_td+rec_td,shadybiev,Los Angeles Rams,c.kupp,San Francisco 49ers,0.0,0.5555555555555556,1,0.6666666666666666,1,0.6,1,54,9,88,29,Rain,Levi's,outdoors,grass,125,1.5,3.375,1.875
D.Samuel o0.5 rush_td+rec_td,shadybiev,San Francisco 49ers,d.samuel,Los Angeles Rams,1.0,0.1818181818181818,0,0.0,0,0.0,0,54,9,88,29,Rain,Levi's,outdoors,grass,140,1.5,3.6,2.1
K.Williams o0.5 rush_td+rec_td,JBBets1,Los Angeles Rams,k.williams,San Francisco 49ers,0.0,0.7692307692307693,1,1.0,1,0.6,1,54,9,88,29,Rain,Levi's,outdoors,grass,-150,1.5,2.5,1.0
K.Williams o0.5 rush_td+rec_td,PvB_Bets,Los Angeles Rams,k.williams,San Francisco 49ers,0.0,0.7692307692307693,1,1.0,1,0.6,1,54,9,88,29,Rain,Levi's,outdoors,grass,-145,1.0,1.6896551724137931,0.6896551724137931
G.Kittle o0.5 rush_td+rec_td,TopShelfAction,San Francisco 49ers,g.kittle,Los Angeles Rams,1.0,0.6363636363636364,1,0.3333333333333333,0,0.6,1,53,9,88,69,Rain,Levi's,outdoors,grass,150,1.0,2.5,1.5
I.Guerendo o0.5 rush_td+rec_td,TopShelfAction,San Francisco 49ers,i.guerendo,Los Angeles Rams,1.0,1.0,1,1.0,1,1.0,1,53,9,88,69,Rain,Levi's,outdoors,grass,-110,1.0,1.9090909090909087,0.9090909090909092
K.Williams o0.5 rush_td+rec_td,TopShelfAction,Los Angeles Rams,k.williams,San Francisco 49ers,0.0,0.7692307692307693,1,1.0,1,0.6,1,56,7,88,69,Overcast,Levi's,outdoors,grass,-140,1.0,1.7142857142857144,0.7142857142857144
D.Samuel o0.5 rush_td+rec_td,daletanhardt,San Francisco 49ers,d.samuel,Los Angeles Rams,1.0,0.1818181818181818,0,0.0,0,0.0,0,56,7,88,69,Overcast,Levi's,outdoors,grass,130,1.2,2.76,1.5599999999999998
