Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
D.Swift u2.5 Recs,chrisgimino_,Chicago Bears,d.swift,Minnesota Vikings,0.0,0.5833333333333334,1,0.6666666666666666,1,0.8,1,29,13,87,1,Snow,U.S. Bank,indoors,turf,-129,1.0,1.7751937984496124,0.7751937984496124,,,
T.Tucker o2.5 Recs,nick_giffen,Las Vegas Raiders,t.tucker,Atlanta Falcons,1.0,0.3846153846153846,0,0.3333333333333333,0,0.4,0,57,2,18,0,Partly Cloudy,Allegiant,indoors,grass,142,1.0,2.42,1.42,,,
J.Jefferson o25.5 Longest Reception,PvB_Bets,Minnesota Vikings,j.jefferson,Chicago Bears,1.0,0.7692307692307693,1,0.6666666666666666,1,0.6,1,31,15,81,1,Mostly Cloudy,U.S. Bank,indoors,turf,-114,1.0,1.8771929824561404,0.8771929824561404,,,
B.Robinson u75.5 rushing yards,Rotowire Prizepicks_duplicate,Atlanta Falcons,b.robinson,Las Vegas Raiders,0.0,0.4615384615384615,0,0.3333333333333333,0,0.2,0,56,5,26,1,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,0.0,1.0,Rush_Yds
B.Robinson o84.5 rushing yards,Quinn Allen_duplicate,Atlanta Falcons,b.robinson,Las Vegas Raiders,0.0,0.5384615384615384,1,0.6666666666666666,1,0.8,1,58,2,20,0,Partly Cloudy,Allegiant,indoors,grass,100,0.75,1.5,0.75,1.0,0.0,Rush_Yds
B.Robinson o76.5 Rush Yds,CroweRadio_duplicate,Atlanta Falcons,b.robinson,Las Vegas Raiders,0.0,0.5384615384615384,1,0.6666666666666666,1,0.8,1,58,2,20,0,Partly Cloudy,Allegiant,indoors,grass,-125,0.25,0.45,0.2,1.0,0.0,Rush_Yds
T.Allgeier o26.5 rushing yards,Rotowire Sleeper,Atlanta Falcons,t.allgeier,Las Vegas Raiders,0.0,0.6153846153846154,1,0.3333333333333333,0,0.4,0,57,2,21,0,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,1.0,0.0,Rush_Yds
T.Allgeier o26.5 rushing yards,Rotowire Prizepicks,Atlanta Falcons,t.allgeier,Las Vegas Raiders,0.0,0.6153846153846154,1,0.3333333333333333,0,0.4,0,57,2,18,0,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,1.0,0.0,Rush_Yds
A.Jones o64.5 Rush Yds,the_degenerates,Minnesota Vikings,a.jones,Chicago Bears,1.0,0.5384615384615384,1,0.6666666666666666,1,0.6,1,32,15,80,0,Mostly Cloudy,U.S. Bank,indoors,turf,-117,1.17,2.17,1.0,1.0,0.0,Rush_Yds
B.Robinson u75.5 rushing yards,Rotowire Prizepicks,Atlanta Falcons,b.robinson,Las Vegas Raiders,0.0,0.4615384615384615,0,0.3333333333333333,0,0.2,0,56,5,26,1,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,,,
B.Robinson o0.5 rush_td+rec_td,wheatonbrando,Atlanta Falcons,b.robinson,Las Vegas Raiders,0.0,0.5384615384615384,1,0.6666666666666666,1,0.6,1,55,3,25,1,Partly Cloudy,Allegiant,indoors,grass,-120,1.0,1.8333333333333333,0.8333333333333335,,,
B.Robinson o0.5 rush_td+rec_td,wheatonbrando_duplicate,Atlanta Falcons,b.robinson,Las Vegas Raiders,0.0,0.5384615384615384,1,0.6666666666666666,1,0.6,1,55,3,25,1,Partly Cloudy,Allegiant,indoors,grass,-120,1.0,1.8333333333333333,0.8333333333333335,1.0,0.0,Rush_TD+Rec_TD
D.London o0.5 rush_td+rec_td,GDAWG5000,Atlanta Falcons,d.london,Las Vegas Raiders,0.0,0.4615384615384615,0,0.0,0,0.2,0,57,2,21,0,Partly Cloudy,Allegiant,indoors,grass,150,1.0,2.5,1.5,1.0,0.0,Rush_TD+Rec_TD
D.London o0.5 rush_td+rec_td,JBBets1,Atlanta Falcons,d.london,Las Vegas Raiders,0.0,0.4615384615384615,0,0.0,0,0.2,0,54,0,18,0,Mostly Cloudy,Allegiant,indoors,grass,125,1.0,2.25,1.25,1.0,0.0,Rush_TD+Rec_TD
J.Addison o0.5 rush_td+rec_td,Ryan Gilbert,Minnesota Vikings,j.addison,Chicago Bears,1.0,0.4545454545454545,0,0.6666666666666666,1,0.6,1,30,14,88,0,Mostly Cloudy,U.S. Bank,indoors,turf,100,0.75,1.5,0.75,1.0,0.0,Rush_TD+Rec_TD
T.Hockenson o0.5 rush_td+rec_td,shadybiev,Minnesota Vikings,t.hockenson,Chicago Bears,1.0,0.0,0,0.0,0,0.0,0,31,15,81,1,Mostly Cloudy,U.S. Bank,indoors,turf,215,1.5,4.725,3.225,1.0,0.0,Rush_TD+Rec_TD
D.Ridder u238.5 Pass + Rush Yds,allanlemdfs,Las Vegas Raiders,d.ridder,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,54,0,18,0,Mostly Cloudy,Allegiant,indoors,grass,-110,0.55,1.05,0.5,,,
K.Cousins u32.5 Pass Att,The_Oddsmaker,Atlanta Falcons,k.cousins,Las Vegas Raiders,0.0,0.5833333333333334,1,0.3333333333333333,0,0.6,1,57,2,20,0,Partly Cloudy,Allegiant,indoors,grass,-114,1.14,2.14,0.9999999999999998,,,
T.Hockenson o44.5 receiving yards,Rotowire Prizepicks,Minnesota Vikings,t.hockenson,Chicago Bears,1.0,0.5,0,0.6666666666666666,1,0.6,1,27,8,92,12,Mostly Cloudy,U.S. Bank,indoors,turf,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
T.Hockenson o39.5 receiving yards,Rotowire Prizepicks,Minnesota Vikings,t.hockenson,Chicago Bears,1.0,0.5,0,0.6666666666666666,1,0.6,1,30,10,88,16,Snow,U.S. Bank,indoors,turf,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
K.Allen o47.5 receiving yards,Rotowire Sleeper,Chicago Bears,k.allen,Minnesota Vikings,0.0,0.1818181818181818,0,0.6666666666666666,1,0.4,0,28,10,95,19,Snow,U.S. Bank,indoors,turf,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
D.Mooney o49.5 receiving yards,Rotowire Sleeper,Atlanta Falcons,d.mooney,Las Vegas Raiders,0.0,0.6153846153846154,1,0.3333333333333333,0,0.6,1,55,3,27,1,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
D.Swift o12.5 Rec Yds,gneiffer07,Chicago Bears,d.swift,Minnesota Vikings,0.0,0.6923076923076923,1,0.6666666666666666,1,0.6,1,29,10,96,19,Snow,U.S. Bank,indoors,turf,-109,1.09,2.0900000000000003,1.0000000000000002,1.0,0.0,Rec_Yds
J.Addison o52.5 receiving yards,Jared Hochman,Minnesota Vikings,j.addison,Chicago Bears,1.0,0.5454545454545454,1,1.0,1,0.8,1,30,14,85,3,Mostly Cloudy,U.S. Bank,indoors,turf,100,0.75,1.5,0.75,1.0,0.0,Rec_Yds
T.Hockenson o39.5 Rec Yds,ThePropfessor_,Minnesota Vikings,t.hockenson,Chicago Bears,1.0,0.5,0,0.6666666666666666,1,0.6,1,30,15,85,0,Mostly Cloudy,U.S. Bank,indoors,turf,-125,1.25,2.25,1.0,1.0,0.0,Rec_Yds
B.Bowers o64.5 receiving yards,Quinn Allen,Las Vegas Raiders,b.bowers,Atlanta Falcons,1.0,0.4615384615384615,0,0.3333333333333333,0,0.4,0,58,2,20,0,Partly Cloudy,Allegiant,indoors,grass,100,0.75,1.5,0.75,1.0,0.0,Rec_Yds
J.Meyers o60.5 receiving yards,Rotowire Prizepicks,Las Vegas Raiders,j.meyers,Atlanta Falcons,1.0,0.6363636363636364,1,1.0,1,0.8,1,58,2,20,0,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
T.Hockenson o40.5 receiving yards,Rotowire Prizepicks,Minnesota Vikings,t.hockenson,Chicago Bears,1.0,0.5,0,0.6666666666666666,1,0.6,1,30,13,88,0,Mostly Cloudy,U.S. Bank,indoors,turf,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
T.Tucker o20.5 receiving yards,Rotowire Sleeper,Las Vegas Raiders,t.tucker,Atlanta Falcons,1.0,0.6153846153846154,1,0.6666666666666666,1,0.6,1,57,2,21,0,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
B.Bowers o64.5 receiving yards,Rotowire Prizepicks,Las Vegas Raiders,b.bowers,Atlanta Falcons,1.0,0.4615384615384615,0,0.3333333333333333,0,0.4,0,57,2,21,0,Partly Cloudy,Allegiant,indoors,grass,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
C.Kmet o25.5 receiving yards,Rotowire Sleeper,Chicago Bears,c.kmet,Minnesota Vikings,0.0,0.7272727272727273,1,1.0,1,0.6,1,31,15,81,0,Mostly Cloudy,U.S. Bank,indoors,turf,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
D.Swift o11.5 receiving yards,Rotowire Sleeper,Chicago Bears,d.swift,Minnesota Vikings,0.0,0.6923076923076923,1,0.6666666666666666,1,0.6,1,31,15,81,0,Mostly Cloudy,U.S. Bank,indoors,turf,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.Addison o53.5 Rec Yds,kylemurray03,Minnesota Vikings,j.addison,Chicago Bears,1.0,0.5454545454545454,1,1.0,1,0.8,1,31,15,81,0,Mostly Cloudy,U.S. Bank,indoors,turf,-125,1.25,2.25,1.0,1.0,0.0,Rec_Yds
D.Swift o12.5 Rec Yds,kylemurray03,Chicago Bears,d.swift,Minnesota Vikings,0.0,0.6923076923076923,1,0.6666666666666666,1,0.6,1,31,15,81,0,Mostly Cloudy,U.S. Bank,indoors,turf,-106,2.12,4.12,2.0,1.0,0.0,Rec_Yds
T.Hockenson o42.5 Rec Yds,shadybiev,Minnesota Vikings,t.hockenson,Chicago Bears,1.0,0.5,0,0.6666666666666666,1,0.6,1,31,15,81,1,Mostly Cloudy,U.S. Bank,indoors,turf,-112,2.8,5.3,2.5,1.0,0.0,Rec_Yds
D.Swift o12.5 receiving yards,Rotowire Sleeper,Chicago Bears,d.swift,Minnesota Vikings,0.0,0.6923076923076923,1,0.6666666666666666,1,0.6,1,31,15,81,1,Mostly Cloudy,U.S. Bank,indoors,turf,100,1.5,3.0,1.5,1.0,0.0,Rec_Yds
