Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
M.Evans u5.5 Recs,TopShelfAction,Tampa Bay Buccaneers,m.evans,Carolina Panthers,1.0,0.75,1,0.6666666666666666,1,0.6,1,75,10,85,60,Rain,Raymond James,outdoors,grass,110,0.6,1.26,0.66
S.Barkley o2.5 Recs,TopShelfAction,Philadelphia Eagles,s.barkley,Dallas Cowboys,1.0,0.2666666666666666,0,0.0,0,0.2,0,61,10,84,53,Rain,Lincoln Financial Field,outdoors,grass,188,0.4,1.152,0.7519999999999999
A.Jones o2.5 Recs,goodelleaks,Minnesota Vikings,a.jones,Green Bay Packers,1.0,0.5333333333333333,1,0.3333333333333333,0,0.6,1,37,2,90,9,Foggy,U.S. Bank,indoors,turf,-130,0.65,1.15,0.4999999999999999
B.Hall o3.5 Recs,TopShelfAction,New York Jets,b.hall,Buffalo Bills,0.0,0.5714285714285714,1,0.3333333333333333,0,0.6,1,53,20,89,66,Rain,Highmark,outdoors,turf,108,0.7,1.456,0.756
J.Meyers u4.5 Recs,TopShelfAction,Las Vegas Raiders,j.meyers,New Orleans Saints,0.0,0.3076923076923077,0,0.3333333333333333,0,0.2,0,66,6,78,0,Foggy,Caesars Superdome,indoors,turf,150,0.4,1.0,0.6
D.Adams u5.5 Recs,TopShelfAction,New York Jets,d.adams,Buffalo Bills,0.0,0.3333333333333333,0,0.0,0,0.2,0,53,21,92,66,Rain,Highmark,outdoors,turf,112,0.7,1.484,0.784
P.Durham u2.5 Recs,TopShelfAction,Tampa Bay Buccaneers,p.durham,Carolina Panthers,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,75,10,86,72,Rain,Raymond James,outdoors,grass,122,0.6,1.332,0.7319999999999999
E.Moore o2.5 Recs,TopShelfAction,Cleveland Browns,e.moore,Miami Dolphins,1.0,0.6666666666666666,1,0.3333333333333333,0,0.6,1,60,21,72,20,Rain,Huntington Bank Field,outdoors,grass,-132,0.7,1.2303030303030302,0.5303030303030303
B.Robinson u2.5 Recs,TopShelfAction_duplicate,Washington Commanders,b.robinson,Atlanta Falcons,1.0,0.75,1,0.6666666666666666,1,0.8,1,60,13,87,96,Rain,Northwest,outdoors,grass,133,0.5,1.165,0.665
G.Wilson o4.5 Recs,PvB_Bets,New York Jets,g.wilson,Buffalo Bills,0.0,0.8,1,0.6666666666666666,1,0.6,1,51,7,92,46,Rain,Highmark,outdoors,turf,-150,1.0,1.6666666666666663,0.6666666666666665
D.Mooney o3.5 Recs,CroweRadio,Atlanta Falcons,d.mooney,Washington Commanders,0.0,0.5333333333333333,1,0.6666666666666666,1,0.4,0,60,15,93,85,Rain,Northwest,outdoors,grass,-120,0.25,0.4583333333333333,0.2083333333333333
D.Achane o3.5 Recs,shadybiev,Miami Dolphins,d.achane,Cleveland Browns,0.0,0.6666666666666666,1,1.0,1,0.8,1,61,9,76,71,Rain,Huntington Bank Field,outdoors,grass,-115,2.88,5.384347826086956,2.5043478260869563
Z.Ertz u3.5 Recs,TopShelfAction,Washington Commanders,z.ertz,Atlanta Falcons,1.0,0.4666666666666667,0,1.0,1,0.6,1,60,8,93,85,Rain,Northwest,outdoors,grass,128,0.4,0.912,0.5120000000000001
D.London u5.5 Recs,PvB_Bets,Atlanta Falcons,d.london,Washington Commanders,0.0,0.4666666666666667,0,1.0,1,0.8,1,60,8,93,85,Rain,Northwest,outdoors,grass,-125,1.0,1.8,0.8
