Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
B.Cooks o2.5 Recs,moneylinewixted,Dallas Cowboys,b.cooks,Cincinnati Bengals,1.0,0.4,0,0.3333333333333333,0,0.4,0,61,3,65,4,Mostly Cloudy,AT&amp;T,indoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,,,
T.Higgins u6.5 Recs,nick_giffen,Cincinnati Bengals,t.higgins,Dallas Cowboys,0.0,0.5714285714285714,1,0.6666666666666666,1,0.4,0,61,3,53,0,Mostly Cloudy,AT&amp;T,indoors,turf,-142.0,1.0,1.704225352112676,0.704225352112676,,,
J.Ferguson o4.5 Recs,Mjaybrxd,Dallas Cowboys,j.ferguson,Cincinnati Bengals,1.0,0.625,1,0.6666666666666666,1,0.6,1,61,7,53,0,Clear,AT&amp;T,indoors,turf,-110.0,0.5,0.9545454545454546,0.4545454545454546,,,
A.Iosivas o13.5 Longest Reception,KyleJustBets,Cincinnati Bengals,a.iosivas,Dallas Cowboys,0.0,0.5833333333333334,1,1.0,1,0.6,1,61,3,53,4,Mostly Cloudy,AT&amp;T,indoors,turf,-110.0,0.75,1.431818181818182,0.6818181818181819,,,
A.Iosivas o13.5 Longest Reception,therocketplays,Cincinnati Bengals,a.iosivas,Dallas Cowboys,0.0,0.5833333333333334,1,1.0,1,0.6,1,61,3,65,4,Mostly Cloudy,AT&amp;T,indoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,,,
J.Chase o25.5 Longest Reception,KyleJustBets,Cincinnati Bengals,j.chase,Dallas Cowboys,0.0,0.6666666666666666,1,1.0,1,0.6,1,61,3,53,4,Mostly Cloudy,AT&amp;T,indoors,turf,-109.0,0.75,1.438073394495413,0.6880733944954129,,,
J.Burrow o9.5 Rush Yds,moneybadger24_,Cincinnati Bengals,j.burrow,Dallas Cowboys,0.0,0.5,0,0.3333333333333333,0,0.6,1,61,3,65,4,Mostly Cloudy,AT&amp;T,indoors,turf,-110.0,1.1,2.1,1.0,1.0,0.0,Rush_Yds
C.Rush o1.5 rushing yards,Rotowire Sleeper,Dallas Cowboys,c.rush,Cincinnati Bengals,1.0,0.5,0,0.3333333333333333,0,0.6,1,72,3,65,4,Mostly Cloudy,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rush_Yds
R.Dowdle u67.5 Rush Yds,The_Oddsmaker,Dallas Cowboys,r.dowdle,Cincinnati Bengals,1.0,0.6363636363636364,1,0.3333333333333333,0,0.4,0,61,3,65,4,Mostly Cloudy,AT&amp;T,indoors,turf,100.0,1.0,2.0,1.0,0.0,1.0,Rush_Yds
J.Burrow o8.5 Rush Yds,Theotherbabs,Cincinnati Bengals,j.burrow,Dallas Cowboys,0.0,0.6666666666666666,1,0.6666666666666666,1,0.8,1,61,3,62,4,Mostly Cloudy,AT&amp;T,indoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,,,
J.Burrow o8.5 Rush Yds,MJCLocks,Cincinnati Bengals,j.burrow,Dallas Cowboys,0.0,0.6666666666666666,1,0.6666666666666666,1,0.8,1,61,3,65,4,Mostly Cloudy,AT&amp;T,indoors,turf,-113.0,1.13,2.13,1.0,,,
J.Burrow o8.5 Rush Yds,Markus_Markets,Cincinnati Bengals,j.burrow,Dallas Cowboys,0.0,0.6666666666666666,1,0.6666666666666666,1,0.8,1,61,3,65,4,Mostly Cloudy,AT&amp;T,indoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,,,
J.Burrow o8.5 Rush Yds,ThePropfessor_,Cincinnati Bengals,j.burrow,Dallas Cowboys,0.0,0.6666666666666666,1,0.6666666666666666,1,0.8,1,61,3,53,0,Clear,AT&amp;T,indoors,turf,-110.0,1.1,2.1,1.0,,,
J.Burrow u0.5 Int,PvB_Bets,Cincinnati Bengals,j.burrow,Dallas Cowboys,0.0,0.5833333333333334,1,0.6666666666666666,1,0.4,0,61,7,53,0,Clear,AT&amp;T,indoors,turf,-114.0,1.0,1.8771929824561404,0.8771929824561404,0.0,1.0,Int
K.Turpin o9.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,k.turpin,Cincinnati Bengals,1.0,0.7,1,0.6666666666666666,1,0.8,1,57,7,66,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
C.Lamb o67.5 Rec Yds,sandyplashkes,Dallas Cowboys,c.lamb,Cincinnati Bengals,1.0,0.4166666666666667,0,0.3333333333333333,0,0.2,0,61,7,66,0,Clear,AT&amp;T,indoors,turf,-114.0,1.14,2.14,0.9999999999999998,1.0,0.0,Rec_Yds
B.Cooks o26.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,b.cooks,Cincinnati Bengals,1.0,0.2,0,0.0,0,0.2,0,57,7,69,0,Partly Cloudy,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
C.Lamb o66.5 receiving yards,Rotowire Sleeper,Dallas Cowboys,c.lamb,Cincinnati Bengals,1.0,0.5833333333333334,1,0.6666666666666666,1,0.4,0,57,7,69,0,Partly Cloudy,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
A.Iosivas o19.5 receiving yards,Rotowire Sleeper,Cincinnati Bengals,a.iosivas,Dallas Cowboys,0.0,0.6666666666666666,1,1.0,1,0.6,1,57,7,69,0,Partly Cloudy,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
M.Gesicki u26.5 receiving yards,Rotowire Prizepicks,Cincinnati Bengals,m.gesicki,Dallas Cowboys,0.0,0.3636363636363636,0,0.3333333333333333,0,0.2,0,72,7,53,0,Partly Cloudy,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,0.0,1.0,Rec_Yds
