Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
J.Allen u33.5 pass attempts,Rohit Ponnaiya,Buffalo Bills,j.allen,Miami Dolphins,0.0,1.0,1,1.0,1,1.0,1,85,3,80,35,Rain,Hard Rock,outdoors,grass,100,0.75,1.5,0.75
K.Shakir u3.5 Recs,MoneylineHacks,Buffalo Bills,k.shakir,Miami Dolphins,0.0,1.0,1,1.0,1,1.0,1,84,5,80,18,Rain,Hard Rock,outdoors,grass,-115,1.0,1.869565217391304,0.8695652173913042
J.Cook o83.5 Rush + Rec Yds,charliedisturco,Buffalo Bills,J.Cook,Miami Dolphins,0.0,1.0,1,1.0,1,1.0,1,85,2,82,18,Rain,Hard Rock,outdoors,grass,-114,1.14,2.14,0.9999999999999998
J.Cook o81.5 Rush + Rec Yds,GreenDotDaily,Buffalo Bills,j.cook,Miami Dolphins,0.0,1.0,1,1.0,1,1.0,1,84,2,82,18,Rain,Hard Rock,outdoors,grass,-119,1.0,1.8403361344537816,0.8403361344537816
J.Cook o80.5 Rush + Rec Yds,cowhitchurch,Buffalo Bills,j.cook,Miami Dolphins,0.0,1.0,1,1.0,1,1.0,1,84,2,82,18,Rain,Hard Rock,outdoors,grass,-115,0.58,1.0843478260869563,0.5043478260869564
T.Tagovailoa o4.5 Rush Yds,Proptology,Miami Dolphins,T.Tagovailoa,Buffalo Bills,1.0,1.0,1,1.0,1,1.0,1,85,2,82,18,Rain,Hard Rock,outdoors,grass,-115,2.3,4.299999999999999,1.9999999999999991
T.Tagovailoa o4.5 Rush Yds,moneybadger24_,Miami Dolphins,t.tagovailoa,Buffalo Bills,1.0,1.0,1,1.0,1,1.0,1,85,3,80,35,Rain,Hard Rock,outdoors,grass,-110,1.1,2.1,1.0
T.Tagovailoa o4.5 Rush Yds,MoneylineHacks,Miami Dolphins,t.tagovailoa,Buffalo Bills,1.0,1.0,1,1.0,1,1.0,1,84,2,82,18,Rain,Hard Rock,outdoors,grass,-110,2.0,3.8181818181818175,1.8181818181818183
K.Shakir o39.5 Rec Yds,MillyProps,Buffalo Bills,K.Shakir,Miami Dolphins,0.0,1.0,1,1.0,1,1.0,1,85,2,82,18,Rain,Hard Rock,outdoors,grass,-110,1.0,1.9090909090909087,0.9090909090909092
K.Shakir o39.5 Rec Yds,FirefighterBets,Buffalo Bills,k.shakir,Miami Dolphins,0.0,1.0,1,1.0,1,1.0,1,85,2,82,18,Rain,Hard Rock,outdoors,grass,-110,1.0,1.9090909090909087,0.9090909090909092
J.Waddle u65.5 Rec Yds,boomerslocks,Miami Dolphins,j.waddle,Buffalo Bills,1.0,0.0,0,0.0,0,0.0,0,84,5,80,18,Rain,Hard Rock,outdoors,grass,-102,1.0,1.9803921568627447,0.9803921568627452
T.Hill u94.5 Rec Yds,PropBomb,Miami Dolphins,t.hill,Buffalo Bills,1.0,0.0,0,0.0,0,0.0,0,85,3,80,35,Rain,Hard Rock,outdoors,grass,-110,1.1,2.1,1.0
