,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,J.Burrow,Cincinnati Bengals,28,16,38.1,226,5.9,144,5.1,3.8,165,5.9,0,0.0%,0,0.0%,4,0,0,0,4,9.1%,2,4.5,/players/B/BurrJo01.htm,38,309,3,1,27,49,112.7,2,9,0,8,2,2,100.0,1201,Pittsburgh Steelers,1,Paycor,outdoors,turf,30,41,5,0,Clear
1,R.Wilson,Pittsburgh Steelers,29,18,45.0,162,4.3,150,5.2,3.9,264,9.1,0,0.0%,0,0.0%,2,0,0,0,2,4.9%,1,5.0,/players/W/WilsRu00.htm,38,414,3,1,4,43,126.4,3,3,0,5,0,0,97.0,1201,Cincinnati Bengals,0,Paycor,outdoors,turf,30,41,5,0,Clear
2,D.Carr,New Orleans Saints,24,11,29.7,245,6.6,120,5.0,3.2,64,2.7,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,6.0,/players/C/CarrDe02.htm,37,184,1,0,0,28,85.9,2,12,0,9,0,0,100.0,1201,Los Angeles Rams,1,Caesars Superdome,indoors,turf,64,48,8,0,Clear
3,M.Stafford,Los Angeles Rams,14,9,34.6,203,8.5,105,7.5,4.4,78,5.6,0,0.0%,0,0.0%,2,0,0,0,2,7.7%,0,0,/players/S/StafMa00.htm,24,183,2,0,17,46,110.2,4,3,0,4,0,0,100.0,1201,New Orleans Saints,0,Caesars Superdome,indoors,turf,64,48,8,0,Clear
4,L.Jackson,Baltimore Ravens,23,11,28.2,358,9.9,138,6.0,3.8,99,4.3,0,0.0%,0,0.0%,3,0,0,0,3,6.8%,5,14.8,/players/J/JackLa00.htm,36,237,2,0,31,40,101.3,8,79,0,39,2,0,100.0,1201,Philadelphia Eagles,1,M&amp;T Bank,outdoors,grass,41,46,7,12,Mostly Cloudy
5,J.Hurts,Philadelphia Eagles,11,7,33.3,137,7.2,66,6.0,3.5,52,4.7,0,0.0%,0,0.0%,2,0,0,0,2,9.5%,0,0,/players/H/HurtJa00.htm,19,118,1,0,6,17,93.7,9,29,1,11,1,0,100.0,1201,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,41,46,7,12,Mostly Cloudy
6,K.Cousins,Atlanta Falcons,24,13,32.5,306,7.8,93,3.9,2.4,152,6.3,0,0.0%,0,0.0%,1,0,0,0,1,2.5%,0,0,/players/C/CousKi00.htm,39,245,0,4,11,60,40.0,1,3,0,3,1,0,100.0,1201,Los Angeles Chargers,1,Mercedes-Benz,indoors,turf,48,37,5,0,Clear
7,J.Herbert,Los Angeles Chargers,16,5,17.9,170,7.4,84,5.3,3.7,63,3.9,0,0.0%,0,0.0%,5,0,0,0,5,17.9%,0,0,/players/H/HerbJu00.htm,23,147,0,0,19,48,86.7,5,1,0,2,0,0,100.0,1201,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,48,37,5,0,Clear
8,J.Allen,Buffalo Bills,13,7,41.2,114,6.7,63,4.8,3.7,85,6.5,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,8.0,/players/A/AlleJo02.htm,17,148,2,0,0,39,141.3,3,18,1,8,0,0,74.0,1201,San Francisco 49ers,1,Highmark,outdoors,turf,31,95,14,66,Mostly Cloudy
9,B.Purdy,San Francisco 49ers,11,4,20.0,90,5.0,31,2.8,1.7,63,5.7,0,0.0%,0,0.0%,2,0,0,0,2,9.1%,2,2.0,/players/P/PurdBr00.htm,18,94,0,0,8,26,74.8,2,4,0,3,1,1,100.0,1201,Buffalo Bills,0,Highmark,outdoors,turf,31,95,14,66,Mostly Cloudy
10,A.Rodgers,New York Jets,21,12,29.3,309,7.9,63,3.0,1.6,122,5.8,0,0.0%,0,0.0%,2,0,0,0,2,4.8%,1,7.0,/players/R/RodgAa00.htm,39,185,2,1,16,24,73.1,2,6,0,7,0,0,100.0,1201,Seattle Seahawks,1,MetLife,outdoors,turf,37,31,10,0,Clear
