Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,C.Williams,Chicago Bears,14,5,16.1,182,6.3,45,3.2,1.6,48,3.4,1,3.7%,9,33.3%,2,9,4,3,9,27.3%,2,8.0,/players/W/WillCa03.htm,29,93,0,0,29,13,55.7,5,15,0,11,1,0,100.0,908,Tennessee Titans,1,Soldier Field,outdoors,grass,65,40,11,0,Partly Cloudy
1,W.Levis,Tennessee Titans,19,6,17.1,225,7.0,77,4.1,2.4,50,2.6,2,6.9%,8,27.6%,3,5,7,7,17,44.7%,3,7.0,/players/L/LeviWi00.htm,32,127,1,2,23,22,52.5,4,36,0,15,1,1,100.0,908,Chicago Bears,0,Soldier Field,outdoors,grass,65,40,11,0,Partly Cloudy
2,D.Watson,Cleveland Browns,24,8,15.7,395,8.8,67,2.8,1.5,102,4.3,5,11.6%,10,23.3%,6,12,7,12,25,44.6%,5,7.8,/players/W/WatsDe00.htm,45,169,1,2,32,29,51.1,5,39,0,16,1,0,100.0,908,Dallas Cowboys,1,Huntington Bank Field,outdoors,grass,67,52,18,1,Partly Cloudy
3,D.Prescott,Dallas Cowboys,19,8,22.9,290,9.1,79,4.2,2.5,100,5.3,2,6.3%,5,15.6%,3,9,4,2,9,25.7%,0,0.0,/players/P/PresDa01.htm,32,179,1,0,16,34,85.3,1,3,0,3,1,0,98.0,908,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,67,52,18,1,Partly Cloudy
4,T.Tagovailoa,Miami Dolphins,23,11,27.5,238,6.4,95,4.1,2.6,243,10.6,1,2.8%,7,19.4%,3,11,2,1,6,14.6%,1,11.0,/players/T/TagoTu00.htm,37,338,1,0,19,80,101.0,1,11,0,11,0,0,100.0,908,Jacksonville Jaguars,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
5,T.Lawrence,Jacksonville Jaguars,12,8,33.3,194,9.2,122,10.2,5.8,40,3.3,0,0.0%,7,35.0%,3,10,1,1,5,20.0%,1,8.0,/players/L/LawrTr00.htm,21,162,1,0,23,30,97.7,1,8,0,8,0,0,100.0,908,Miami Dolphins,0,Hard Rock,outdoors,grass,91,62,13,7,Clear
6,J.Goff,Detroit Lions,18,7,23.3,187,6.7,69,3.8,2.5,148,8.2,3,10.7%,4,14.3%,2,4,0,3,5,16.1%,1,7.0,/players/G/GoffJa00.htm,28,217,1,1,17,52,85.0,1,7,0,7,0,0,100.0,908,Los Angeles Rams,1,Ford Field,indoors,turf,69,49,7,3,Clear
7,M.Stafford,Los Angeles Rams,34,15,29.4,290,5.9,146,4.3,3.0,171,5.0,4,8.3%,6,12.5%,2,14,5,9,16,31.4%,0,0.0,/players/S/StafMa00.htm,49,317,1,1,13,63,85.2,0,0,0,0,0,0,100.0,908,Detroit Lions,0,Ford Field,indoors,turf,69,49,7,3,Clear
8,A.Richardson,Indianapolis Colts,9,4,19.0,312,16.4,161,17.9,8.5,51,5.7,0,0.0%,5,26.3%,2,2,2,0,4,16.7%,3,10.7,/players/R/RichAn03.htm,19,212,2,1,13,60,101.2,6,56,1,19,0,0,100.0,908,Houston Texans,1,Lucas Oil,indoors,turf,64,40,0,0,Mostly Cloudy
9,C.Stroud,Houston Texans,24,13,36.1,252,7.9,155,6.5,4.8,79,3.3,1,3.2%,5,16.1%,4,9,5,4,13,34.2%,2,7.5,/players/S/StroCJ00.htm,32,234,2,0,30,55,115.9,4,13,0,13,0,0,100.0,908,Indianapolis Colts,0,Lucas Oil,indoors,turf,64,40,0,0,Mostly Cloudy
