Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,J.Watson,Kansas City Chiefs,3,1,6,1,1.0,6.0,6.0,0.0,0.0,23.0,0.0,0.0,0,0.0,81.9,0,0,0,0,6,0,0,0,0.0,0,0.0,0,0.0,45.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
1.0,J.Smith-Schuster,Kansas City Chiefs,1,1,10,0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0,0.0,108.3,0,0,0,0,10,0,0,0,0.0,0,0.0,0,0.0,56.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
2.0,S.Perine,Kansas City Chiefs,1,1,15,0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0,0.0,118.7,0,0,0,0,10,0,0,-2,-2.0,17,17.0,0,0.0,25.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
3.0,X.Worthy,Kansas City Chiefs,7,5,54,0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0,0.0,93.7,0,0,0,0,19,0,3,21,4.2,33,6.6,0,0.0,59.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
4.0,N.Gray,Kansas City Chiefs,6,4,58,0,2.0,32.0,8.0,26.0,6.5,10.7,0.0,0.0,0,0.0,97.9,0,0,0,0,26,0,0,0,0.0,0,0.0,0,0.0,62.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
5.0,T.Kelce,Kansas City Chiefs,13,7,68,0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0,0.0,68.7,0,0,0,0,24,0,5,40,5.7,28,4.0,0,0.0,90.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
6.0,D.Hopkins,Kansas City Chiefs,9,4,90,0,2.0,69.0,17.3,21.0,5.3,13.1,0.0,0.0,0,0.0,80.8,0,0,0,0,34,0,0,0,0.0,0,0.0,0,0.0,59.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
7.0,K.Hunt,Kansas City Chiefs,4,2,0,0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,0.0,0,0.0,56.2,0,15,0,4,5,0,0,-7,-3.5,7,3.5,0,0.0,38.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
8.0,I.Pacheco,Kansas City Chiefs,1,1,5,0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0,0.0,87.5,0,44,0,34,5,0,0,-3,-3.0,8,8.0,0,0.0,37.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
9.0,P.Mahomes,Kansas City Chiefs,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4,0,5,0,0,0,0,0.0,0,0.0,0,0.0,100.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
