,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,D.Wicks,Green Bay Packers,3,0,0,0,0,0,0,0,0,14.7,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
1,R.Doubs,Green Bay Packers,5,4,28,0,0,25,6.3,3,0.8,6.6,0,0.0,0,0.0,90.0,0,0,0,0,8,0,0,0,0,0,0,0,0.0,83.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
2,C.Watson,Green Bay Packers,7,3,37,0,0,0,0,0,0,20.7,0,0.0,0,0.0,59.8,0,0,0,0,19,0,2,36,12.0,1,0.3,0,0.0,57.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
3,J.Reed,Green Bay Packers,6,5,113,0,0,0,0,0,0,15.5,0,0.0,0,0.0,118.7,0,0,0,0,41,0,4,94,18.8,19,3.8,0,0.0,68.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
4,T.Kraft,Green Bay Packers,6,4,34,0,0,0,0,0,0,5.7,0,0.0,0,0.0,81.2,0,2,0,2,13,0,1,19,4.8,15,3.8,0,0.0,100.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
5,C.Brooks,Green Bay Packers,4,3,28,0,0,0,0,0,0,0.8,0,0.0,0,0.0,93.7,0,13,0,9,13,0,1,-2,-0.7,30,10.0,0,0.0,26.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
6,E.Wilson,Green Bay Packers,1,1,1,0,0,0,0,0,0,-5.0,0,0.0,0,0.0,79.2,0,28,1,19,1,0,0,-5,-5.0,6,6.0,0,0.0,20.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
7,J.Jacobs,Green Bay Packers,3,2,13,0,0,0,0,0,0,-4.7,0,0.0,0,0.0,36.1,0,95,0,37,11,0,1,-3,-1.5,16,8.0,0,0.0,55.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
8,K.Raymond,Detroit Lions,1,1,12,0,0,0,0,0,0,-4.0,0,0.0,0,0.0,116.7,0,-12,0,-12,12,0,0,-4,-4.0,16,16.0,0,0.0,39.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
9,B.Wright,Detroit Lions,1,1,1,0,0,-1,-1.0,2,2.0,-1.0,0,0.0,0,0.0,79.2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,60.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
10,T.Patrick,Detroit Lions,2,2,12,0,0,8,4.0,4,2.0,4.0,0,0.0,0,0.0,91.7,0,0,0,0,9,0,0,0,0,0,0,0,0.0,77.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
11,S.LaPorta,Detroit Lions,3,2,28,0,1,23,11.5,5,2.5,10.7,0,0.0,0,0.0,96.5,0,0,0,0,19,0,0,0,0,0,0,0,0.0,84.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
12,A.St.,Detroit Lions,7,7,56,1,4,36,5.1,20,2.9,5.1,0,0.0,0,0.0,139.6,0,0,0,0,26,0,0,0,0,0,0,0,0.0,93.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
13,J.Gibbs,Detroit Lions,2,1,11,0,0,0,0,0,0,6.0,0,0.0,0,0.0,66.7,0,65,1,18,11,0,1,-3,-3.0,14,14.0,0,0.0,39.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
14,D.Montgomery,Detroit Lions,3,3,23,0,0,0,0,0,0,-1.0,0,0.0,0,0.0,98.6,0,73,0,12,14,0,1,-3,-1.0,26,8.7,0,0.0,56.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
15,J.Goff,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0.0,100.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
16,J.Jackson,Tennessee Titans,2,1,8,0,0,0,0,0,0,18.5,0,0.0,0,0.0,60.4,0,-5,0,-5,8,0,1,6,6.0,2,2.0,0,0.0,30.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
17,N.Vannett,Tennessee Titans,2,2,33,1,2,16,8.0,17,8.5,8.0,0,0.0,0,0.0,158.3,0,0,0,0,24,0,0,0,0,0,0,0,0.0,47.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
18,C.Okonkwo,Tennessee Titans,4,3,38,0,1,31,10.3,7,2.3,8.5,0,0.0,0,0.0,64.6,0,0,0,0,21,0,0,0,0,0,0,0,0.0,73.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
19,N.Westbrook-Ikhine,Tennessee Titans,6,5,50,1,4,34,6.8,16,3.2,7.8,0,0.0,0,0.0,141.0,0,0,0,0,14,0,0,0,0,0,0,0,0.0,97.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
20,C.Ridley,Tennessee Titans,8,5,73,0,0,0,0,0,0,15.3,0,0.0,0,0.0,92.2,0,0,0,0,25,0,4,56,11.2,17,3.4,0,0.0,94.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
21,T.Boyd,Tennessee Titans,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,0,3,0,0,0,0,0,0,0,0,0.0,29.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
22,T.Pollard,Tennessee Titans,3,3,26,0,0,0,0,0,0,6.0,0,0.0,0,0.0,102.8,0,128,0,32,12,0,0,18,6.0,8,2.7,0,0.0,86.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
23,A.Hooper,New England Patriots,1,1,8,0,0,0,0.0,8,8.0,0.0,0,0.0,0,0.0,100.0,0,0,0,0,8,0,0,0,0,0,0,0,0.0,39.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
24,K.Boutte,New England Patriots,6,2,18,0,1,16,8.0,2,1.0,18.7,0,0.0,0,0.0,2.8,0,0,0,0,11,0,0,0,0,0,0,0,0.0,96.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
25,D.Douglas,New England Patriots,9,7,35,0,0,0,0,0,0,7.0,0,0.0,0,0.0,82.9,0,0,0,0,21,0,3,16,2.3,19,2.7,0,0.0,71.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
26,K.Bourne,New England Patriots,6,4,41,0,1,29,7.3,12,3.0,11.0,0,0.0,0,0.0,86.1,0,0,0,0,14,0,0,0,0,0,0,0,0.0,78.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
27,H.Henry,New England Patriots,8,7,56,0,3,25,3.6,31,4.4,6.3,0,0.0,0,0.0,95.8,0,0,0,0,13,0,0,0,0,0,0,0,0.0,87.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
28,R.Stevenson,New England Patriots,5,5,38,1,0,0,0,0,0,-1.2,0,0.0,0,0.0,137.9,0,16,1,5,12,0,2,-6,-1.2,44,8.8,0,0.0,74.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
29,K.Hodge,Atlanta Falcons,2,1,9,0,0,0,0.0,9,9.0,0.0,0,0.0,0,0.0,62.5,0,0,0,0,9,0,0,0,0,0,0,0,0.0,81.0,1103,Dallas Cowboys,1,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
30,K.Pitts,Atlanta Falcons,1,1,11,0,0,2,2.0,9,9.0,2.0,0,0.0,0,0.0,112.5,0,0,0,0,11,0,0,0,0,0,0,0,0.0,54.0,1103,Dallas Cowboys,1,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
