Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,J.Tolbert,Dallas Cowboys,3,0,0,0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,65.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
1.0,J.Mingo,Dallas Cowboys,1,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,23.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
2.0,B.Cooks,Dallas Cowboys,3,1,3,1,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0,0.0,81.9,0,0,0,0,3,0,1,3,3.0,0,0.0,0,0.0,60.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
3.0,L.Schoonmaker,Dallas Cowboys,2,2,22,0,1.0,11.0,5.5,11.0,5.5,5.5,0.0,0.0,0,0.0,112.5,0,0,0,0,14,0,0,0,0.0,0,0.0,0,0.0,38.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
4.0,J.Ferguson,Dallas Cowboys,6,3,32,0,1.0,18.0,6.0,14.0,4.7,9.3,0.0,0.0,0,0.0,66.0,0,0,0,0,20,0,0,0,0.0,0,0.0,0,0.0,77.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
5.0,C.Lamb,Dallas Cowboys,7,6,93,1,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0,0.0,118.7,0,1,0,1,43,0,4,40,6.7,53,8.8,0,0.0,97.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
6.0,R.Dowdle,Dallas Cowboys,2,1,10,0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0,0.0,64.6,0,131,0,27,10,0,1,5,5.0,5,5.0,0,0.0,77.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
7.0,D.Sample,Cincinnati Bengals,2,2,13,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,93.7,0,0,0,0,12,0,1,8,4.0,5,2.5,0,0.0,69.0,129,Dallas Cowboys,0,AT&amp;T,indoors,turf,61,53,7,0,Clear
8.0,T.Hudson,Cincinnati Bengals,1,1,19,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,118.7,0,0,0,0,19,0,1,5,5.0,14,14.0,0,0.0,20.0,129,Dallas Cowboys,0,AT&amp;T,indoors,turf,61,53,7,0,Clear
9.0,T.Higgins,Cincinnati Bengals,5,2,23,0,1.0,19.0,9.5,4.0,2.0,8.0,0.0,0.0,0,0.0,54.6,0,0,0,0,13,0,0,0,0.0,0,0.0,0,0.0,87.0,129,Dallas Cowboys,0,AT&amp;T,indoors,turf,61,53,7,0,Clear
