,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,D.Sample,Cincinnati Bengals,1,1,3,0,1,2,2.0,1,1.0,2.0,0,0,0,0.0,79.2,0,0,0,0,3,0,61.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
3,C.Grandy,Cincinnati Bengals,1,1,7,0,0,1,1.0,6,6.0,1.0,0,0,0,0.0,95.8,0,0,0,0,7,0,18.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
5,A.Iosivas,Cincinnati Bengals,4,3,59,0,3,44,14.7,15,5.0,11.5,0,0,0,0.0,116.7,0,0,0,0,26,0,79.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
7,M.Gesicki,Cincinnati Bengals,12,10,86,0,5,55,5.5,31,3.1,5.6,0,0,0,0.0,96.5,0,0,0,0,12,0,57.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
9,J.Chase,Cincinnati Bengals,15,9,102,0,4,63,7.0,39,4.3,7.2,0,0,0,0.0,80.4,0,0,0,0,38,0,98.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
11,T.Higgins,Cincinnati Bengals,12,11,131,3,8,112,10.2,19,1.7,9.6,0,0,0,0.0,151.7,0,0,0,0,31,1,69.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
13,K.Herbert,Cincinnati Bengals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,23,0,13,0,0,20.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
15,C.Brown,Cincinnati Bengals,4,4,24,0,2,1,0.3,23,5.8,0.3,0,0,0,0.0,91.7,20,67,0,9,11,0,81.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
17,M.Mims,Denver Broncos,8,8,103,2,3,61,7.6,42,5.3,7.6,0,0,0,0.0,158.3,1,-1,0,-1,51,0,47.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
19,T.Franklin,Denver Broncos,2,1,-1,0,0,-3,-3.0,2,2.0,14.5,0,0,0,0.0,56.2,0,0,0,0,-1,0,33.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
21,J.Williams,Denver Broncos,2,2,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,79.2,0,0,0,0,6,0,37.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
23,L.Krull,Denver Broncos,1,1,3,0,0,-1,-1.0,4,4.0,-1.0,0,0,0,0.0,79.2,0,0,0,0,3,0,40.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
25,A.Trautman,Denver Broncos,3,1,5,0,0,2,2.0,3,3.0,4.7,0,0,0,0.0,42.4,0,0,0,0,5,0,48.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
27,N.Adkins,Denver Broncos,1,1,7,0,0,-4,-4.0,11,11.0,-4.0,0,0,0,0.0,95.8,0,0,0,0,7,0,37.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
29,D.Vele,Denver Broncos,2,2,27,0,2,21,10.5,6,3.0,10.5,0,0,0,0.0,118.7,0,0,0,0,16,0,50.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
31,C.Sutton,Denver Broncos,9,5,55,1,4,46,9.2,9,1.8,12.2,0,0,0,0.0,71.3,0,0,0,0,15,0,93.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
33,A.Estime,Denver Broncos,1,1,13,0,1,-1,-1.0,14,14.0,-1.0,0,0,0,0.0,118.7,9,24,0,6,13,0,30.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
35,J.McLaughlin,Denver Broncos,2,2,7,0,0,-5,-2.5,12,6.0,-2.5,0,0,0,0.0,81.2,10,69,0,13,4,0,23.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
37,B.Nix,Denver Broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,31,0,8,0,0,100.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
39,H.Henry,New England Patriots,2,0,0,0,0,0,0,0,0,9.5,0,0,0,0.0,39.6,0,0,0,0,0,0,57.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
41,J.Polk,New England Patriots,1,0,0,0,0,0,0,0,0,24.0,0,0,0,0.0,39.6,0,0,0,0,0,0,23.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
43,A.Hooper,New England Patriots,3,3,19,0,1,15,5.0,4,1.3,5.0,0,0,0,0.0,93.1,0,0,0,0,9,0,45.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
45,K.Bourne,New England Patriots,4,2,22,0,1,15,7.5,7,3.5,6.8,0,0,0,0.0,66.7,0,0,0,0,18,0,72.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
47,K.Boutte,New England Patriots,5,4,28,0,0,26,6.5,2,0.5,12.6,0,0,0,0.0,90.0,0,0,0,0,9,0,77.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
49,D.Douglas,New England Patriots,5,4,46,1,2,39,9.8,7,1.8,8.6,0,0,0,0.0,144.6,0,0,0,0,36,0,92.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
51,R.Stevenson,New England Patriots,1,0,0,0,0,0,0,0,0,3.0,0,0,0,0.0,39.6,2,1,0,5,0,0,45.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
