,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,M.Nabers,New York Giants,15,12,115,0,5,86,7.2,29,2.4,10.4,0,0.0,0,0.0,98.6,-4,0,-4,39,0,0,0,0,0,0,0,0.0,0,90.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
1,T.Johnson,New York Giants,1,1,6,0,0,0,0,0,0,5.0,0,0.0,0,0.0,91.7,0,0,0,6,0,0,5,5.0,1,1.0,0,0.0,0,71.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
2,D.Slayton,New York Giants,5,3,56,0,0,0,0,0,0,19.4,0,0.0,0,0.0,98.7,0,0,0,28,0,3,47,15.7,9,3.0,0,0.0,0,84.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
3,W.Robinson,New York Giants,14,11,71,0,2,34,3.1,37,3.4,5.3,0,0.0,0,0.0,87.8,0,0,0,11,0,0,0,0,0,0,0,0.0,0,65.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
4,T.Tracy,New York Giants,1,1,19,0,1,-7,-7.0,26,26.0,-7.0,0,0.0,0,0.0,118.7,2,0,1,19,0,0,0,0,0,0,0,0.0,0,25.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
5,D.Singletary,New York Giants,1,1,14,0,1,-4,-4.0,18,18.0,-4.0,0,0.0,0,0.0,118.7,24,0,5,14,0,0,0,0,0,0,0,0.0,0,68.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
6,B.Cooks,Dallas Cowboys,4,1,16,0,1,7,7.0,9,9.0,10.0,0,0.0,0,0.0,43.7,0,0,0,16,0,0,0,0,0,0,0,0.0,0,82.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
7,J.Tolbert,Dallas Cowboys,3,3,24,0,0,0,0,0,0,6.3,0,0.0,0,0.0,100.0,0,0,0,15,0,1,19,6.3,5,1.7,0,0.0,0,70.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
8,J.Ferguson,Dallas Cowboys,7,7,49,0,0,0,0,0,0,3.1,0,0.0,0,0.0,95.8,0,0,0,9,0,2,22,3.1,27,3.9,0,0.0,0,73.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
9,H.Luepke,Dallas Cowboys,2,2,14,0,1,11,5.5,3,1.5,5.5,0,0.0,0,0.0,95.8,8,0,6,11,0,0,0,0,0,0,0,0.0,0,52.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
10,C.Lamb,Dallas Cowboys,8,7,98,1,3,50,7.1,48,6.9,6.8,0,0.0,0,0.0,157.3,8,0,10,55,0,0,0,0,0,0,0,0.0,0,84.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
11,R.Dowdle,Dallas Cowboys,1,1,15,1,1,-4,-4.0,19,19.0,-4.0,0,0.0,0,0.0,158.3,46,0,9,15,0,0,0,0,0,0,0,0.0,0,45.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
