,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,R.Ali,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,100004,Cleveland Browns,1,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
3,M.Andrews,Baltimore Ravens,1,0,0,0,0,0.0,0,0.0,0,0,0,8,4,54,1,30,0,79.0,100004,Cleveland Browns,1,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
5,Z.Flowers,Baltimore Ravens,1,9,0,0,9,9.0,0,0.0,0,0,9,2,1,12,0,12,0,20.0,100004,Cleveland Browns,1,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
7,K.Mitchell,Baltimore Ravens,4,10,0,0,10,2.5,0,0.0,0,0,4,0,0,0,0,0,0,21.0,100004,Cleveland Browns,1,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
9,D.Henry,Baltimore Ravens,20,138,2,5,138,6.9,0,0.0,0,0,43,3,2,23,0,13,0,70.0,100004,Cleveland Browns,1,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
11,L.Jackson,Baltimore Ravens,9,63,0,3,63,7.0,0,0.0,0,0,19,0,0,0,0,0,0,96.0,100004,Cleveland Browns,1,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
13,E.Moore,Cleveland Browns,0,0,0,0,0,0,0,0,0,0,0,5,3,36,0,23,0,95.0,100004,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
15,J.Kibodi,Cleveland Browns,5,24,0,1,24,4.8,0,0.0,0,0,17,3,1,15,0,15,0,29.0,100004,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
17,D.Foreman,Cleveland Browns,10,27,0,0,27,2.7,0,0.0,0,0,8,1,1,8,0,8,0,66.0,100004,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
19,D.Thompson-Robinson,Cleveland Browns,2,3,0,0,3,1.5,0,0.0,0,0,3,0,0,0,0,0,0,10.0,100004,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
21,B.Zappe,Cleveland Browns,2,2,0,0,2,1.0,0,0.0,0,0,3,0,0,0,0,0,0,90.0,100004,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,32,37,17,0,Mostly Cloudy
