Unnamed: 0,Name,Team,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,S.Shepard,Tampa Bay Buccaneers,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,3,18,0,9,0,0.0,0,0.0,0,0.0,0,62.0,1027,Atlanta Falcons,1,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
1.0,C.Otton,Tampa Bay Buccaneers,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,9,81,2,29,0,0.0,0,0.0,0,0.0,0,93.0,1027,Atlanta Falcons,1,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
2.0,J.McMillan,Tampa Bay Buccaneers,1,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,7,4,35,0,13,0,1.0,17,17.0,0,0.0,0,81.0,1027,Atlanta Falcons,1,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
3.0,R.White,Tampa Bay Buccaneers,6,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,5,38,1,18,1,1.0,29,4.8,0,0.0,0,56.0,1027,Atlanta Falcons,1,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
4.0,B.Irving,Tampa Bay Buccaneers,9,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7,7,40,0,13,0,4.0,44,4.9,0,0.0,0,42.0,1027,Atlanta Falcons,1,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
5.0,B.Mayfield,Tampa Bay Buccaneers,3,11,0,2.0,11.0,3.7,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Atlanta Falcons,1,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
6.0,R.McCloud,Atlanta Falcons,1,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,3,9,0,6,0,1.0,17,17.0,0,0.0,0,89.0,1027,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
7.0,T.Allgeier,Atlanta Falcons,12,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,3.0,33,2.8,0,0.0,0,35.0,1027,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
8.0,B.Robinson,Atlanta Falcons,13,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,6,37,1,10,0,3.0,63,4.8,0,0.0,0,68.0,1027,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
9.0,K.Cousins,Atlanta Falcons,3,16,0,1.0,16.0,5.3,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,79,52,6,0,Mostly Cloudy
10.0,Z.Charbonnet,Seattle Seahawks,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,20,0,12,0,1.0,4,1.3,0,0.0,0,45.0,1027,Buffalo Bills,1,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
11.0,K.Walker,Seattle Seahawks,9,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,4,33,0,17,0,0.0,12,1.3,0,0.0,0,55.0,1027,Buffalo Bills,1,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
12.0,G.Smith,Seattle Seahawks,5,16,0,1.0,16.0,3.2,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Buffalo Bills,1,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
13.0,T.Johnson,Buffalo Bills,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0,0.0,0,20.0,1027,Seattle Seahawks,0,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
14.0,K.Shakir,Buffalo Bills,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,9,107,0,35,0,0.0,2,2.0,0,0.0,0,58.0,1027,Seattle Seahawks,0,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
15.0,R.Davis,Buffalo Bills,6,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,2.0,29,4.8,0,0.0,0,22.0,1027,Seattle Seahawks,0,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
16.0,J.Cook,Buffalo Bills,17,111,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,3,22,0,12,0,8.0,111,6.5,0,0.0,0,55.0,1027,Seattle Seahawks,0,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
17.0,J.Allen,Buffalo Bills,7,25,0,3.0,25.0,3.6,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,91.0,1027,Seattle Seahawks,0,Lumen Field,outdoors,turf,57,86,14,90,Partly Cloudy
18.0,D.Douglas,New England Patriots,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,12,0,9,0,0.0,0,0.0,0,0.0,0,57.0,1027,New York Jets,1,Gillette,outdoors,turf,54,32,9,0,Clear
19.0,R.Stevenson,New England Patriots,20,48,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,3,17,0,14,0,5.0,48,2.4,0,0.0,0,81.0,1027,New York Jets,1,Gillette,outdoors,turf,54,32,9,0,Clear
20.0,D.Maye,New England Patriots,3,46,1,3.0,46.0,15.3,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,30.0,1027,New York Jets,1,Gillette,outdoors,turf,54,32,9,0,Clear
21.0,J.Brissett,New England Patriots,3,11,0,1.0,11.0,3.7,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,70.0,1027,New York Jets,1,Gillette,outdoors,turf,54,32,9,0,Clear
22.0,G.Wilson,New York Jets,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,5,113,0,35,0,0.0,0,0.0,0,0.0,0,98.0,1027,New England Patriots,0,Gillette,outdoors,turf,54,32,9,0,Clear
23.0,B.Allen,New York Jets,12,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,4.0,32,2.7,0,0.0,0,31.0,1027,New England Patriots,0,Gillette,outdoors,turf,54,32,9,0,Clear
24.0,B.Hall,New York Jets,16,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,9,0,9,0,2.0,80,5.0,0,0.0,0,74.0,1027,New England Patriots,0,Gillette,outdoors,turf,54,32,9,0,Clear
25.0,A.Rodgers,New York Jets,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,New England Patriots,0,Gillette,outdoors,turf,54,32,9,0,Clear
26.0,B.Thomas,Jacksonville Jaguars,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,3,60,1,28,0,0.0,0,0.0,0,0.0,0,51.0,1027,Green Bay Packers,1,EverBank,outdoors,grass,81,55,6,1,Clear
27.0,D.Johnson,Jacksonville Jaguars,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,20,0,20,0,0.0,3,3.0,0,0.0,0,33.0,1027,Green Bay Packers,1,EverBank,outdoors,grass,81,55,6,1,Clear
28.0,T.Bigsby,Jacksonville Jaguars,18,78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,2,8,0,6,0,3.0,78,4.3,0,0.0,0,67.0,1027,Green Bay Packers,1,EverBank,outdoors,grass,81,55,6,1,Clear
29.0,T.Lawrence,Jacksonville Jaguars,4,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,1,2.0,10,2.5,0,0.0,0,100.0,1027,Green Bay Packers,1,EverBank,outdoors,grass,81,55,6,1,Clear
30.0,C.Watson,Green Bay Packers,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,4,39,0,14,0,0.0,0,0.0,0,0.0,0,74.0,1027,Jacksonville Jaguars,0,EverBank,outdoors,grass,81,55,6,1,Clear
31.0,J.Reed,Green Bay Packers,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,55,0,51,0,0.0,0,0.0,0,0.0,0,59.0,1027,Jacksonville Jaguars,0,EverBank,outdoors,grass,81,55,6,1,Clear
32.0,T.Kraft,Green Bay Packers,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,78,1,67,0,0.0,0,0.0,0,0.0,0,84.0,1027,Jacksonville Jaguars,0,EverBank,outdoors,grass,81,55,6,1,Clear
33.0,C.Brooks,Green Bay Packers,4,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1,1,0,1,0,2.0,16,4.0,0,0.0,0,24.0,1027,Jacksonville Jaguars,0,EverBank,outdoors,grass,81,55,6,1,Clear
34.0,J.Jacobs,Green Bay Packers,25,127,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,2,1,-2,0,-2,0,5.0,127,5.1,0,0.0,0,64.0,1027,Jacksonville Jaguars,0,EverBank,outdoors,grass,81,55,6,1,Clear
35.0,M.Willis,Green Bay Packers,4,23,0,1.0,23.0,5.8,0.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,37.0,1027,Jacksonville Jaguars,0,EverBank,outdoors,grass,81,55,6,1,Clear
36.0,J.Love,Green Bay Packers,1,-1,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,63.0,1027,Jacksonville Jaguars,0,EverBank,outdoors,grass,81,55,6,1,Clear
37.0,K.Raymond,Detroit Lions,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,14,1,7,0,0.0,0,0.0,0,0.0,0,31.0,1027,Tennessee Titans,1,Ford Field,indoors,turf,57,44,6,0,Clear
38.0,J.Gibbs,Detroit Lions,11,127,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,1,1,6,0,6,0,3.0,127,11.5,0,0.0,0,40.0,1027,Tennessee Titans,1,Ford Field,indoors,turf,57,44,6,0,Clear
39.0,D.Montgomery,Detroit Lions,9,33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,1,5,0,5,0,2.0,33,3.7,0,0.0,0,48.0,1027,Tennessee Titans,1,Ford Field,indoors,turf,57,44,6,0,Clear
40.0,J.Goff,Detroit Lions,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1,1.0,0,0.0,0,88.0,1027,Tennessee Titans,1,Ford Field,indoors,turf,57,44,6,0,Clear
41.0,C.Ridley,Tennessee Titans,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15,10,143,0,47,1,0.0,3,3.0,0,0.0,0,79.0,1027,Detroit Lions,0,Ford Field,indoors,turf,57,44,6,0,Clear
42.0,T.Pollard,Tennessee Titans,20,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,3,23,0,17,0,5.0,94,4.7,0,0.0,0,82.0,1027,Detroit Lions,0,Ford Field,indoors,turf,57,44,6,0,Clear
43.0,M.Rudolph,Tennessee Titans,4,29,1,3.0,29.0,7.3,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Detroit Lions,0,Ford Field,indoors,turf,57,44,6,0,Clear
44.0,J.Chase,Cincinnati Bengals,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,9,54,1,13,0,0.0,0,0.0,0,0.0,0,95.0,1027,Philadelphia Eagles,1,Paycor,outdoors,turf,56,39,5,0,Clear
45.0,Z.Moss,Cincinnati Bengals,5,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,28,0,9,0,0.0,11,2.2,0,0.0,0,52.0,1027,Philadelphia Eagles,1,Paycor,outdoors,turf,56,39,5,0,Clear
46.0,C.Brown,Cincinnati Bengals,12,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2,0,5,0,2.0,32,2.7,0,0.0,0,48.0,1027,Philadelphia Eagles,1,Paycor,outdoors,turf,56,39,5,0,Clear
47.0,J.Burrow,Cincinnati Bengals,3,15,0,1.0,15.0,5.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,95.0,1027,Philadelphia Eagles,1,Paycor,outdoors,turf,56,39,5,0,Clear
48.0,S.Barkley,Philadelphia Eagles,22,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,1,3,0,3,0,5.0,108,4.9,0,0.0,0,82.0,1027,Cincinnati Bengals,0,Paycor,outdoors,turf,56,39,5,0,Clear
49.0,J.Hurts,Philadelphia Eagles,10,37,3,7.0,37.0,3.7,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Cincinnati Bengals,0,Paycor,outdoors,turf,56,39,5,0,Clear
50.0,M.Mims,Denver Broncos,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,8,0,8,0,0.0,0,0.0,0,0.0,0,29.0,1027,Carolina Panthers,1,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
51.0,T.Franklin,Denver Broncos,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,6,0,6,0,0.0,3,3.0,0,0.0,0,37.0,1027,Carolina Panthers,1,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
52.0,J.Williams,Denver Broncos,17,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,4,8,0,4,0,0.0,44,2.6,0,0.0,0,58.0,1027,Carolina Panthers,1,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
53.0,J.McLaughlin,Denver Broncos,8,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1,9,1,9,0,4.0,47,5.9,0,0.0,0,32.0,1027,Carolina Panthers,1,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
54.0,B.Nix,Denver Broncos,5,4,1,2.0,4.0,0.8,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Carolina Panthers,1,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
55.0,J.Mingo,Carolina Panthers,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,0.0,0,0.0,0,54.0,1027,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
56.0,X.Legette,Carolina Panthers,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,4,34,1,23,0,0.0,0,0.0,0,0.0,0,62.0,1027,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
57.0,M.Sanders,Carolina Panthers,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,38,0,11,0,1.0,7,7.0,0,0.0,0,34.0,1027,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
58.0,C.Hubbard,Carolina Panthers,15,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,2,15,0,13,0,2.0,56,3.7,0,0.0,0,74.0,1027,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
59.0,B.Young,Carolina Panthers,3,6,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,70,13,3,1,Mostly Cloudy
60.0,J.Meyers,Las Vegas Raiders,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,6,52,1,17,0,0.0,0,0.0,0,0.0,0,81.0,1027,Kansas City Chiefs,1,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
61.0,B.Bowers,Las Vegas Raiders,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,5,58,0,19,0,0.0,0,0.0,0,0.0,0,91.0,1027,Kansas City Chiefs,1,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
62.0,A.Abdullah,Las Vegas Raiders,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,9,0,9,0,0.0,2,2.0,0,0.0,0,29.0,1027,Kansas City Chiefs,1,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
63.0,D.Turner,Las Vegas Raiders,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,28,1,11,0,0.0,4,4.0,0,0.0,0,53.0,1027,Kansas City Chiefs,1,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
64.0,T.Tucker,Las Vegas Raiders,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,2,26,0,20,0,0.0,7,7.0,0,0.0,0,91.0,1027,Kansas City Chiefs,1,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
65.0,A.Mattison,Las Vegas Raiders,14,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,29,0,11,0,1.0,15,1.1,0,0.0,0,66.0,1027,Kansas City Chiefs,1,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
66.0,G.Minshew,Las Vegas Raiders,2,6,0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,100.0,1027,Kansas City Chiefs,1,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
67.0,M.Hardman,Kansas City Chiefs,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,8,0,8,0,0.0,0,0.0,0,0.0,0,29.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
68.0,S.Perine,Kansas City Chiefs,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,30,0,21,0,0.0,0,0.0,0,0.0,0,31.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
69.0,X.Worthy,Kansas City Chiefs,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,4,37,1,16,0,0.0,0,0.0,0,0.0,0,53.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
70.0,T.Kelce,Kansas City Chiefs,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,10,90,1,25,0,0.0,0,0.0,0,0.0,0,79.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
