,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,D.Slayton,New York Giants,3,1,32,1,0,0,0,0,0,0,0,0,0,0,0,32,0,80.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
3,W.Robinson,New York Giants,6,5,71,1,0,0,0,0,0,0,0,0,0,0,0,35,0,64.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
5,M.Nabers,New York Giants,8,7,171,2,0,0,0,0,0,0,0,0,0,0,0,59,0,84.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
7,D.Singletary,New York Giants,1,1,9,0,5,21,0,1,21,4.2,0,0.0,0,0,13,9,0,27.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
9,T.Tracy,New York Giants,3,2,14,0,20,59,0,1,59,3.0,0,0.0,0,0,40,13,0,66.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
11,D.Lock,New York Giants,0,0,0,0,5,0,1,1,0,0.0,0,0.0,0,0,5,0,0,100.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
13,T.Sermon,Indianapolis Colts,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
15,A.Mitchell,Indianapolis Colts,4,2,22,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
17,J.Downs,Indianapolis Colts,4,3,22,0,0,0,0,0,0,0,0,0,0,0,0,10,0,61.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
19,J.Taylor,Indianapolis Colts,4,2,11,0,32,125,2,7,125,3.9,0,0.0,0,0,26,7,0,88.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
21,J.Flacco,Indianapolis Colts,0,0,0,0,1,1,0,0,1,1.0,0,0.0,0,0,1,0,1,100.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
23,K.Trask,Tampa Bay Buccaneers,0,0,0,0,3,-2,0,0,-2,-0.7,0,0.0,0,0,0,0,0,14.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
25,J.McMillan,Tampa Bay Buccaneers,5,5,51,2,1,9,0,1,9,9.0,0,0.0,0,0,9,16,0,69.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
27,K.Johnson,Tampa Bay Buccaneers,0,0,0,0,1,11,0,1,11,11.0,0,0.0,0,0,11,0,0,9.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
29,R.White,Tampa Bay Buccaneers,1,1,4,0,6,30,0,3,30,5.0,0,0.0,0,0,16,4,0,36.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
31,S.Tucker,Tampa Bay Buccaneers,1,1,5,0,8,39,0,2,39,4.9,0,0.0,0,0,9,5,0,19.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
33,B.Irving,Tampa Bay Buccaneers,4,4,77,0,20,113,0,7,113,5.7,0,0.0,0,0,34,42,0,55.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
35,B.Mayfield,Tampa Bay Buccaneers,0,0,0,0,1,2,0,0,2,2.0,0,0.0,0,0,2,0,0,86.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
37,V.Jones,Carolina Panthers,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,6.0,1229,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
39,D.Moore,Carolina Panthers,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,32.0,1229,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
41,X.Legette,Carolina Panthers,9,5,28,0,0,0,0,0,0,0,0,0,0,0,0,10,0,68.0,1229,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
43,M.Boone,Carolina Panthers,2,0,0,0,2,11,0,1,11,5.5,0,0.0,0,0,8,0,0,23.0,1229,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
45,R.Blackshear,Carolina Panthers,0,0,0,0,8,20,0,0,20,2.5,0,0.0,0,0,8,0,0,77.0,1229,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
47,B.Young,Carolina Panthers,0,0,0,0,2,8,0,1,8,4.0,0,0.0,0,0,7,0,0,100.0,1229,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
