Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,J.Williams,Detroit Lions,2,2,80,1,0,0,0,0,0,0.0,0,0.0,0,0,0,70,0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
1.0,D.Montgomery,Detroit Lions,1,1,40,0,12,40,1,3,40,3.3,0,0.0,0,0,13,40,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
2.0,J.Gibbs,Detroit Lions,0,0,0,0,14,78,2,5,78,5.6,0,0.0,0,0,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
3.0,J.Goff,Detroit Lions,1,1,7,1,2,-2,0,0,-2,-1.0,0,0.0,0,0,-1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
4.0,Z.Charbonnet,Seattle Seahawks,5,5,39,0,2,15,0,1,15,7.5,0,0.0,0,0,12,16,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
5.0,K.Walker,Seattle Seahawks,5,4,36,0,12,80,3,5,80,6.7,0,0.0,0,0,28,13,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
6.0,G.Smith,Seattle Seahawks,0,0,0,0,5,38,0,0,0,0.0,0,0.0,0,0,12,0,0,4.0,38.0,7.6,0.0,0.0,0.0,100.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
7.0,J.Waddle,Miami Dolphins,6,4,36,0,0,0,0,0,0,0.0,0,0.0,0,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
8.0,D.Achane,Miami Dolphins,3,3,14,0,10,15,0,0,15,1.5,0,0.0,0,0,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
9.0,T.Hill,Miami Dolphins,7,4,23,0,3,19,0,1,19,6.3,0,0.0,0,0,16,17,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
10.0,J.Wright,Miami Dolphins,1,0,0,0,9,32,0,0,0,0.0,0,0.0,0,0,20,0,0,2.0,32.0,3.6,0.0,0.0,0.0,47.0,930,Tennessee Titans,1,Hard Rock,outdoors,grass,87,70,8,2,Clear
